Age,Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyRate,Over18,OverTime,PercentSalaryHike,RelationshipSatisfaction,StandardHours,TotalWorkingYears,WorkLifeBalance,NumCompaniesWorked_log,YearsInCurrentRole_log,YearsWithCurrManager_log,YearsAtCompany_log,MonthlyIncome_log,StockOptionLevel_log,TrainingTimesLastYear_sqrt,PerformanceRating_sqrt,YearsSinceLastPromotion_sqrt,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative
32.0,0,2,334.0,5.0,2.0,1.0,21.0,1.0,1,80.0,4.0,1.0,2.0,0,15053.0,0,1,12.0,4.0,80.0,7.0,2.0,0.0,1.0986122886681096,1.791759469228055,1.9459101490553132,8.101374671228582,1.0986122886681096,2.23606797749979,1.7320508075688772,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
53.0,0,2,1219.0,2.0,4.0,1.0,23.0,1.0,0,78.0,2.0,4.0,4.0,1,22021.0,0,0,16.0,3.0,80.0,31.0,3.0,1.0986122886681096,2.1972245773362196,2.0794415416798357,3.258096538021482,9.643939319328119,0.0,1.7320508075688772,1.7320508075688772,1.7320508075688772,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
38.0,0,2,371.0,2.0,3.0,1.0,24.0,4.0,1,45.0,3.0,1.0,4.0,2,4306.0,0,1,11.0,3.0,80.0,6.0,3.0,1.791759469228055,1.0986122886681096,1.0986122886681096,1.3862943611198906,8.280204233279974,0.0,1.7320508075688772,1.7320508075688772,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
24.0,0,0,673.0,11.0,2.0,1.0,26.0,1.0,0,96.0,4.0,2.0,3.0,0,8232.0,0,0,18.0,4.0,80.0,5.0,2.0,0.0,1.0986122886681096,1.3862943611198906,1.6094379124341003,8.297045149081827,0.6931471805599453,2.23606797749979,1.7320508075688772,1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
36.0,1,2,1218.0,9.0,4.0,1.0,27.0,3.0,1,82.0,2.0,1.0,1.0,2,6986.0,0,0,23.0,2.0,80.0,10.0,3.0,2.0794415416798357,1.3862943611198906,1.3862943611198906,1.791759469228055,8.133880887949207,0.0,2.0,2.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
34.0,0,2,419.0,7.0,4.0,1.0,28.0,1.0,0,53.0,3.0,3.0,2.0,2,21293.0,0,0,11.0,3.0,80.0,13.0,3.0,0.0,1.9459101490553132,2.4849066497880004,2.5649493574615367,9.392245175273795,0.0,2.0,1.7320508075688772,1.4142135623730951,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
21.0,0,2,391.0,15.0,2.0,1.0,30.0,3.0,1,96.0,3.0,1.0,4.0,2,19281.0,0,0,14.0,4.0,80.0,1.0,3.0,0.6931471805599453,0.0,0.0,0.0,7.228649665640015,0.0,2.449489742783178,1.7320508075688772,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
34.0,1,2,699.0,6.0,1.0,1.0,31.0,2.0,1,83.0,3.0,1.0,1.0,2,17102.0,0,0,11.0,3.0,80.0,8.0,3.0,1.0986122886681096,1.0986122886681096,1.3862943611198906,1.6094379124341003,7.993282328101591,0.0,1.4142135623730951,1.7320508075688772,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
53.0,0,2,1282.0,5.0,3.0,1.0,32.0,3.0,0,58.0,3.0,5.0,3.0,0,10735.0,0,0,11.0,4.0,80.0,26.0,2.0,1.6094379124341003,2.639057329615259,2.1972245773362196,2.70805020110221,9.857181799659617,0.6931471805599453,1.7320508075688772,1.7320508075688772,2.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
32.0,1,1,1125.0,16.0,1.0,1.0,33.0,2.0,0,72.0,1.0,1.0,1.0,2,4681.0,0,1,22.0,2.0,80.0,10.0,3.0,0.6931471805599453,1.0986122886681096,2.0794415416798357,2.3978952727983707,8.273846932784508,0.0,2.23606797749979,2.0,2.449489742783178,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
42.0,0,2,691.0,8.0,4.0,1.0,35.0,3.0,1,48.0,3.0,2.0,2.0,1,21173.0,0,0,11.0,4.0,80.0,10.0,3.0,0.0,2.0794415416798357,1.0986122886681096,2.302585092994046,8.828494129466652,0.6931471805599453,1.4142135623730951,1.7320508075688772,2.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
44.0,0,2,477.0,7.0,4.0,1.0,36.0,1.0,0,42.0,2.0,3.0,4.0,1,2094.0,0,0,14.0,4.0,80.0,24.0,3.0,1.3862943611198906,1.9459101490553132,2.8903717578961645,3.1354942159291497,9.234935418831563,0.6931471805599453,2.0,1.7320508075688772,2.23606797749979,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
46.0,0,2,705.0,2.0,4.0,1.0,38.0,2.0,0,83.0,3.0,5.0,1.0,2,22822.0,0,0,12.0,4.0,80.0,22.0,2.0,1.3862943611198906,1.0986122886681096,0.6931471805599453,1.0986122886681096,9.849453664043642,0.0,1.4142135623730951,1.7320508075688772,1.4142135623730951,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
33.0,0,2,924.0,2.0,3.0,1.0,39.0,3.0,1,78.0,3.0,1.0,4.0,2,6670.0,0,0,11.0,4.0,80.0,7.0,3.0,1.6094379124341003,0.6931471805599453,0.0,0.6931471805599453,7.822845290279774,0.0,1.7320508075688772,1.7320508075688772,0.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
44.0,0,2,1459.0,10.0,4.0,1.0,40.0,4.0,1,41.0,3.0,2.0,4.0,1,19121.0,0,1,13.0,4.0,80.0,9.0,4.0,1.0986122886681096,1.0986122886681096,1.3862943611198906,1.6094379124341003,8.774312958285378,0.0,2.23606797749979,1.7320508075688772,1.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
30.0,0,2,125.0,9.0,2.0,1.0,41.0,4.0,1,83.0,2.0,1.0,3.0,2,16117.0,0,0,13.0,1.0,80.0,10.0,3.0,0.6931471805599453,0.0,2.1972245773362196,2.3978952727983707,7.699389406256737,0.0,2.23606797749979,1.7320508075688772,1.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
39.0,1,2,895.0,5.0,3.0,1.0,42.0,4.0,1,56.0,3.0,2.0,4.0,1,3335.0,0,0,14.0,3.0,80.0,19.0,4.0,1.3862943611198906,0.0,0.0,0.6931471805599453,7.643482907077201,0.6931471805599453,2.449489742783178,1.7320508075688772,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
24.0,1,2,813.0,1.0,3.0,1.0,45.0,2.0,1,61.0,3.0,1.0,4.0,1,3020.0,0,1,16.0,1.0,80.0,6.0,2.0,1.0986122886681096,0.0,0.0,1.0986122886681096,7.738052297689316,0.6931471805599453,1.4142135623730951,1.7320508075688772,1.4142135623730951,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
43.0,0,2,1273.0,2.0,2.0,1.0,46.0,4.0,0,72.0,4.0,1.0,3.0,0,21923.0,0,0,12.0,4.0,80.0,6.0,2.0,0.6931471805599453,1.3862943611198906,1.6094379124341003,1.791759469228055,7.880804344674901,1.0986122886681096,1.7320508075688772,1.7320508075688772,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
50.0,1,2,869.0,3.0,2.0,1.0,47.0,1.0,1,86.0,2.0,1.0,3.0,1,3810.0,0,1,14.0,3.0,80.0,3.0,3.0,0.6931471805599453,1.0986122886681096,1.0986122886681096,1.3862943611198906,7.895063498091573,0.0,1.4142135623730951,1.7320508075688772,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
35.0,0,2,890.0,2.0,3.0,1.0,49.0,4.0,0,97.0,3.0,1.0,4.0,1,9687.0,0,0,13.0,1.0,80.0,2.0,3.0,0.6931471805599453,1.0986122886681096,1.0986122886681096,1.0986122886681096,7.608374474380783,0.0,1.7320508075688772,1.7320508075688772,1.4142135623730951,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
36.0,0,2,852.0,5.0,4.0,1.0,51.0,2.0,0,82.0,2.0,1.0,1.0,1,13072.0,0,1,14.0,4.0,80.0,6.0,4.0,2.302585092994046,0.6931471805599453,0.0,0.6931471805599453,8.13739583005665,0.6931471805599453,1.7320508075688772,1.7320508075688772,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
33.0,0,1,1141.0,1.0,3.0,1.0,52.0,3.0,0,42.0,4.0,2.0,1.0,1,3193.0,0,0,19.0,1.0,80.0,10.0,3.0,1.0986122886681096,1.3862943611198906,1.3862943611198906,1.791759469228055,8.589885876809678,1.0986122886681096,1.7320508075688772,1.7320508075688772,1.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
35.0,0,2,464.0,4.0,2.0,1.0,53.0,3.0,1,75.0,3.0,1.0,4.0,0,10910.0,0,0,12.0,3.0,80.0,1.0,3.0,0.6931471805599453,0.0,0.0,0.6931471805599453,7.5766097669730375,0.6931471805599453,1.7320508075688772,1.7320508075688772,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
27.0,0,2,1240.0,2.0,4.0,1.0,54.0,4.0,0,33.0,3.0,1.0,1.0,0,19715.0,0,0,13.0,4.0,80.0,1.0,3.0,0.6931471805599453,0.0,0.0,0.6931471805599453,7.758760544157663,0.6931471805599453,2.449489742783178,1.7320508075688772,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
26.0,1,2,1357.0,25.0,3.0,1.0,55.0,1.0,1,48.0,1.0,1.0,3.0,2,10558.0,0,0,12.0,3.0,80.0,1.0,2.0,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,7.738052297689316,0.0,1.4142135623730951,1.7320508075688772,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
27.0,0,1,994.0,8.0,3.0,1.0,56.0,4.0,1,37.0,3.0,3.0,3.0,2,2975.0,0,0,15.0,4.0,80.0,9.0,3.0,0.6931471805599453,2.1972245773362196,2.0794415416798357,2.302585092994046,9.074176947163311,0.0,0.0,1.7320508075688772,1.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
30.0,0,1,721.0,1.0,2.0,1.0,57.0,3.0,0,58.0,3.0,2.0,4.0,2,10781.0,0,0,23.0,4.0,80.0,12.0,3.0,0.6931471805599453,2.1972245773362196,2.0794415416798357,2.5649493574615367,8.297045149081827,0.0,1.4142135623730951,2.0,1.7320508075688772,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
41.0,1,2,1360.0,12.0,3.0,1.0,58.0,2.0,0,49.0,3.0,5.0,3.0,1,16280.0,0,0,12.0,4.0,80.0,23.0,3.0,0.6931471805599453,2.772588722239781,2.1972245773362196,3.1354942159291497,9.880525940898782,0.0,0.0,1.7320508075688772,3.605551275463989,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
34.0,0,0,1065.0,23.0,4.0,1.0,60.0,2.0,1,72.0,3.0,2.0,3.0,2,10034.0,0,0,20.0,3.0,80.0,10.0,3.0,0.0,1.791759469228055,2.0794415416798357,2.302585092994046,8.427049641563272,0.0,1.4142135623730951,2.0,2.8284271247461903,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
37.0,0,2,408.0,19.0,2.0,1.0,61.0,2.0,1,73.0,3.0,1.0,2.0,1,10227.0,0,0,21.0,1.0,80.0,8.0,3.0,1.6094379124341003,0.0,0.0,0.6931471805599453,8.014004994779459,0.0,1.0,2.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
46.0,0,1,1211.0,5.0,4.0,1.0,62.0,1.0,1,98.0,3.0,2.0,4.0,2,20445.0,0,1,21.0,3.0,80.0,14.0,3.0,1.6094379124341003,1.9459101490553132,2.1972245773362196,2.302585092994046,8.660947155060933,0.0,2.0,2.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
35.0,0,2,1229.0,8.0,1.0,1.0,63.0,4.0,1,36.0,4.0,1.0,4.0,1,4892.0,0,0,19.0,4.0,80.0,1.0,3.0,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,7.727535110475448,0.0,1.4142135623730951,1.7320508075688772,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
48.0,1,2,626.0,1.0,2.0,1.0,64.0,1.0,1,98.0,2.0,3.0,3.0,2,19294.0,0,1,13.0,4.0,80.0,23.0,3.0,2.302585092994046,0.0,0.0,0.6931471805599453,8.590815331286851,0.0,1.4142135623730951,1.7320508075688772,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
28.0,1,2,1434.0,5.0,4.0,1.0,65.0,3.0,1,50.0,3.0,1.0,3.0,2,11179.0,0,1,13.0,3.0,80.0,2.0,2.0,0.6931471805599453,1.0986122886681096,1.0986122886681096,1.0986122886681096,8.143807976771484,0.0,1.7320508075688772,1.7320508075688772,1.4142135623730951,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
44.0,0,2,1488.0,1.0,5.0,1.0,68.0,2.0,0,75.0,3.0,2.0,1.0,0,4009.0,0,1,21.0,3.0,80.0,9.0,2.0,1.791759469228055,1.3862943611198906,1.3862943611198906,1.6094379124341003,8.604287898267172,0.6931471805599453,1.4142135623730951,2.0,1.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
35.0,0,0,1097.0,11.0,2.0,1.0,70.0,3.0,1,79.0,2.0,3.0,1.0,1,8302.0,0,1,13.0,3.0,80.0,10.0,3.0,1.0986122886681096,0.0,1.3862943611198906,1.6094379124341003,9.198773735604718,0.6931471805599453,1.7320508075688772,1.7320508075688772,1.4142135623730951,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
26.0,0,2,1443.0,23.0,3.0,1.0,72.0,3.0,0,47.0,2.0,2.0,4.0,1,21436.0,0,1,19.0,3.0,80.0,5.0,2.0,2.0794415416798357,1.0986122886681096,0.0,1.0986122886681096,8.332789468417959,0.6931471805599453,1.4142135623730951,1.7320508075688772,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
33.0,0,1,515.0,1.0,2.0,1.0,73.0,1.0,0,98.0,3.0,3.0,4.0,2,15146.0,0,1,12.0,3.0,80.0,15.0,3.0,0.6931471805599453,2.70805020110221,2.5649493574615367,2.772588722239781,9.507403306233716,0.0,1.0,1.7320508075688772,2.8284271247461903,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
35.0,0,1,853.0,18.0,5.0,1.0,74.0,2.0,1,71.0,3.0,3.0,1.0,1,11031.0,0,0,22.0,4.0,80.0,9.0,2.0,0.6931471805599453,2.1972245773362196,2.1972245773362196,2.302585092994046,9.112727543109182,0.6931471805599453,1.7320508075688772,2.0,1.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
35.0,0,2,1142.0,23.0,4.0,1.0,75.0,3.0,0,30.0,3.0,1.0,1.0,1,16002.0,0,1,15.0,3.0,80.0,4.0,3.0,1.3862943611198906,1.0986122886681096,1.0986122886681096,1.0986122886681096,8.297792626380861,0.6931471805599453,1.7320508075688772,1.7320508075688772,1.4142135623730951,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
31.0,0,2,655.0,7.0,4.0,1.0,76.0,4.0,1,48.0,3.0,2.0,4.0,0,9528.0,0,0,22.0,4.0,80.0,10.0,2.0,1.3862943611198906,2.0794415416798357,2.0794415416798357,2.0794415416798357,8.68541582383069,0.6931471805599453,1.7320508075688772,2.0,1.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
37.0,0,2,1115.0,1.0,4.0,1.0,77.0,1.0,1,51.0,2.0,2.0,3.0,0,2689.0,0,0,18.0,3.0,80.0,7.0,4.0,0.6931471805599453,1.791759469228055,2.0794415416798357,2.0794415416798357,8.69851424787661,0.6931471805599453,1.4142135623730951,1.7320508075688772,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
32.0,0,2,427.0,1.0,3.0,1.0,78.0,1.0,1,33.0,3.0,2.0,4.0,1,10877.0,0,1,22.0,2.0,80.0,9.0,3.0,0.6931471805599453,2.1972245773362196,2.1972245773362196,2.302585092994046,8.726318950962243,0.6931471805599453,1.7320508075688772,2.0,2.6457513110645907,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
38.0,0,1,653.0,29.0,5.0,1.0,79.0,4.0,0,50.0,3.0,2.0,4.0,2,5456.0,0,0,11.0,4.0,80.0,10.0,3.0,0.6931471805599453,1.3862943611198906,2.302585092994046,2.3978952727983707,7.786136437783072,0.0,1.4142135623730951,1.7320508075688772,3.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
50.0,0,2,989.0,7.0,2.0,1.0,80.0,2.0,0,43.0,2.0,5.0,3.0,0,16701.0,0,1,12.0,4.0,80.0,29.0,2.0,1.791759469228055,1.3862943611198906,2.1972245773362196,3.332204510175204,9.838468916161679,0.6931471805599453,1.4142135623730951,1.7320508075688772,3.605551275463989,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
59.0,0,2,1435.0,25.0,3.0,1.0,81.0,1.0,0,99.0,3.0,3.0,1.0,2,2354.0,0,0,11.0,4.0,80.0,28.0,2.0,2.0794415416798357,2.833213344056216,2.302585092994046,3.091042453358316,8.940891067785461,0.0,1.7320508075688772,1.7320508075688772,2.6457513110645907,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
36.0,0,2,1223.0,8.0,3.0,1.0,83.0,3.0,0,59.0,3.0,3.0,3.0,0,8202.0,0,0,13.0,2.0,80.0,17.0,3.0,0.6931471805599453,2.70805020110221,2.1972245773362196,2.8903717578961645,9.219993629004321,1.3862943611198906,1.4142135623730951,1.7320508075688772,3.4641016151377544,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
55.0,0,2,836.0,8.0,3.0,1.0,84.0,4.0,0,33.0,3.0,4.0,3.0,0,19730.0,0,1,14.0,3.0,80.0,21.0,3.0,1.0986122886681096,0.0,1.0986122886681096,1.791759469228055,9.59947282546345,1.3862943611198906,1.4142135623730951,1.7320508075688772,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
36.0,0,1,1195.0,11.0,3.0,1.0,85.0,2.0,1,95.0,2.0,2.0,2.0,2,22656.0,0,0,13.0,3.0,80.0,6.0,3.0,0.6931471805599453,1.791759469228055,1.3862943611198906,1.9459101490553132,8.779557455883728,0.0,1.7320508075688772,1.7320508075688772,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
45.0,0,2,1339.0,7.0,3.0,1.0,86.0,2.0,1,59.0,3.0,3.0,1.0,0,18787.0,0,0,17.0,3.0,80.0,25.0,3.0,1.0986122886681096,0.0,0.0,0.6931471805599453,9.182455168486648,0.6931471805599453,1.4142135623730951,1.7320508075688772,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
35.0,0,1,664.0,1.0,3.0,1.0,88.0,2.0,1,79.0,3.0,1.0,1.0,1,5868.0,0,0,13.0,4.0,80.0,5.0,2.0,1.6094379124341003,1.0986122886681096,1.0986122886681096,1.3862943611198906,7.693937325509272,0.6931471805599453,1.4142135623730951,1.7320508075688772,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
36.0,1,2,318.0,9.0,3.0,1.0,90.0,4.0,1,79.0,2.0,1.0,3.0,1,21777.0,0,1,17.0,1.0,80.0,2.0,2.0,0.0,0.0,0.0,0.6931471805599453,8.128290171607052,0.6931471805599453,0.0,1.7320508075688772,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
59.0,0,1,1225.0,1.0,1.0,1.0,91.0,1.0,0,57.0,2.0,2.0,3.0,2,24668.0,0,0,11.0,4.0,80.0,20.0,2.0,2.0794415416798357,1.3862943611198906,1.3862943611198906,1.6094379124341003,8.607764889600624,0.0,1.4142135623730951,1.7320508075688772,1.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
29.0,0,2,1328.0,2.0,3.0,1.0,94.0,3.0,1,76.0,3.0,1.0,2.0,1,4956.0,0,0,23.0,4.0,80.0,6.0,3.0,0.0,1.6094379124341003,1.6094379124341003,1.791759469228055,7.902487437162855,0.6931471805599453,1.7320508075688772,2.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
