Age;Attrition;BusinessTravel;DailyRate;DistanceFromHome;Education;EmployeeCount;EmployeeNumber;EnvironmentSatisfaction;Gender;HourlyRate;JobInvolvement;JobLevel;JobSatisfaction;MaritalStatus;MonthlyRate;Over18;OverTime;PercentSalaryHike;PerformanceRating;RelationshipSatisfaction;StandardHours;TotalWorkingYears;WorkLifeBalance;NumCompaniesWorked_log;YearsInCurrentRole_log;YearsWithCurrManager_log;YearsAtCompany_log;MonthlyIncome_log;StockOptionLevel_log;TrainingTimesLastYear_sqrt;PerformanceRating_sqrt;YearsSinceLastPromotion_sqrt;Department_Human Resources;Department_Research & Development;Department_Sales;EducationField_Human Resources;EducationField_Life Sciences;EducationField_Marketing;EducationField_Medical;EducationField_Other;EducationField_Technical Degree;JobRole_Healthcare Representative;JobRole_Human Resources;JobRole_Laboratory Technician;JobRole_Manager;JobRole_Manufacturing Director;JobRole_Research Director;JobRole_Research Scientist;JobRole_Sales Executive;JobRole_Sales Representative
36.0;0;0;217.0;18.0;4.0;1.0;1133.0;1.0;1;78.0;3.0;2.0;4.0;2;23238.0;0;0;20.0;3;1.0;80.0;18.0;3.0;1.0986122886681096;2.302585092994046;2.302585092994046;2.4849066497880004;8.959311617172437;0.0;0.0;2.0;0.0;0;1;0;0;1;0.0;0;0;0;0;0;0;0;1;0.0;0;0;0
37.0;0;2;783.0;7.0;4.0;1.0;1885.0;4.0;1;78.0;3.0;2.0;1.0;1;13588.0;0;1;22.0;3;3.0;80.0;16.0;3.0;1.791759469228055;1.3862943611198906;1.6094379124341003;1.791759469228055;8.36287583103188;0.6931471805599453;1.4142135623730951;2.0;0.0;0;1;0;0;0;0.0;1;0;0;0;0;0;0;0;0.0;1;0;0
43.0;0;2;589.0;14.0;2.0;1.0;843.0;2.0;1;94.0;3.0;4.0;1.0;1;5200.0;0;0;24.0;3;3.0;80.0;22.0;3.0;1.9459101490553132;0.6931471805599453;0.0;1.6094379124341003;9.750336373041954;0.6931471805599453;1.7320508075688772;2.0;1.0;0;1;0;0;1;0.0;0;0;0;0;0;0;0;0;1.0;0;0;0
45.0;0;2;950.0;28.0;3.0;1.0;1546.0;4.0;1;97.0;3.0;1.0;4.0;1;4585.0;0;0;20.0;3;4.0;80.0;8.0;3.0;1.6094379124341003;1.6094379124341003;1.3862943611198906;1.791759469228055;7.665284718471351;0.6931471805599453;1.7320508075688772;2.0;0.0;0;1;0;0;0;0.0;0;0;1;0;0;0;0;0;0.0;1;0;0
33.0;1;2;350.0;5.0;3.0;1.0;485.0;4.0;0;34.0;3.0;1.0;3.0;2;9150.0;0;1;13.0;1;2.0;80.0;1.0;3.0;0.6931471805599453;0.0;0.0;0.6931471805599453;7.955775781534187;0.0;1.4142135623730951;1.7320508075688772;0.0;0;0;1;0;0;1.0;0;0;0;0;0;0;0;0;0.0;0;0;1
26.0;0;2;583.0;4.0;2.0;1.0;1275.0;3.0;1;53.0;3.0;1.0;4.0;2;9973.0;0;1;20.0;3;2.0;80.0;8.0;2.0;0.6931471805599453;1.791759469228055;1.0986122886681096;2.1972245773362196;7.964155718840937;0.0;1.4142135623730951;2.0;1.4142135623730951;0;1;0;0;1;0.0;0;0;0;0;0;0;0;0;0.0;1;0;0
52.0;0;1;890.0;25.0;4.0;1.0;867.0;3.0;0;81.0;2.0;4.0;4.0;1;19028.0;0;0;22.0;4;3.0;80.0;31.0;3.0;1.3862943611198906;2.1972245773362196;0.0;2.302585092994046;9.534378481388618;0.0;1.7320508075688772;2.0;0.0;0;1;0;0;0;0.0;1;0;0;0;0;0;0;1;0.0;0;0;0
45.0;0;0;1238.0;1.0;1.0;1.0;1712.0;3.0;1;74.0;2.0;3.0;3.0;1;3395.0;0;0;23.0;4;4.0;80.0;25.0;2.0;1.3862943611198906;2.772588722239781;1.6094379124341003;3.147594622863237;9.282568005973063;0.6931471805599453;1.7320508075688772;2.0;3.5440090293338704;0;1;0;0;1;0.0;0;0;0;1;0;0;0;0;0.0;0;0;0
32.0;1;2;1033.0;9.0;3.0;1.0;190.0;1.0;0;41.0;3.0;1.0;1.0;2;10224.0;0;0;22.0;3;1.0;80.0;10.0;4.0;2.0794415416798357;1.6094379124341003;1.6094379124341003;1.791759469228055;8.343077871169383;0.0;1.4142135623730951;2.0;0.0;0;1;0;0;0;0.0;1;0;0;0;0;1;0;0;0.0;0;0;0
43.0;0;1;1001.0;9.0;5.0;1.0;663.0;4.0;1;72.0;3.0;2.0;3.0;0;19627.0;0;1;13.0;1;2.0;80.0;10.0;3.0;1.3862943611198906;2.0794415416798357;2.0794415416798357;2.1972245773362196;8.644706511715198;0.6931471805599453;1.7320508075688772;1.7320508075688772;2.0;0;1;0;0;0;0.0;1;0;0;0;0;1;0;0;0.0;0;0;0
30.0;1;2;945.0;9.0;3.0;1.0;1876.0;2.0;1;89.0;3.0;1.0;4.0;2;16019.0;0;0;13.0;2;3.0;80.0;1.0;2.0;0.6931471805599453;0.0;0.0;0.6931471805599453;7.339135536630595;0.0;1.7320508075688772;1.7320508075688772;0.0;0;0;1;0;0;0.0;1;0;0;0;0;0;0;0;0.0;0;0;1
33.0;0;0;530.0;16.0;3.0;1.0;1681.0;3.0;0;36.0;3.0;2.0;4.0;0;16130.0;0;1;25.0;4;3.0;80.0;7.0;3.0;0.6931471805599453;1.791759469228055;1.0986122886681096;1.9459101490553132;8.58839695042257;0.6931471805599453;1.4142135623730951;2.0;1.0;0;0;1;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0;1;0
45.0;0;2;176.0;4.0;3.0;1.0;1744.0;3.0;0;56.0;1.0;3.0;3.0;1;6595.0;0;0;21.0;3;3.0;80.0;9.0;4.0;1.6094379124341003;0.0;1.3862943611198906;1.791759469228055;9.18574025510795;1.0986122886681096;1.4142135623730951;2.0;0.0;1;0;0;0;1;0.0;0;0;0;0;1;0;0;0;0.0;0;0;0
38.0;0;2;330.0;17.0;1.0;1.0;1088.0;3.0;0;65.0;2.0;3.0;3.0;1;24608.0;0;0;18.0;3;1.0;80.0;20.0;2.0;0.0;2.302585092994046;2.302585092994046;2.995732273553991;9.085230560933338;0.6931471805599453;2.0;1.7320508075688772;1.0;0;1;0;0;1;0.0;0;0;0;1;0;0;0;0;0.0;0;0;0
19.0;1;1;602.0;1.0;1.0;1.0;235.0;3.0;0;100.0;1.0;1.0;1.0;2;20989.0;0;0;21.0;3;1.0;80.0;1.0;4.0;0.0;0.0;0.0;0.0;7.75190533307861;0.0;2.23606797749979;2.0;0.0;0;0;1;0;0;0.0;0;0;1;0;0;0;0;0;0.0;0;0;1
39.0;0;2;903.0;2.0;5.0;1.0;985.0;1.0;1;41.0;4.0;3.0;3.0;2;2560.0;0;0;18.0;3;4.0;80.0;9.0;3.0;0.0;2.0794415416798357;2.0794415416798357;2.1972245773362196;8.97221007835365;0.0;1.7320508075688772;1.7320508075688772;0.0;0;0;1;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0;1;0
34.0;1;1;658.0;7.0;3.0;1.0;147.0;1.0;1;66.0;1.0;2.0;3.0;2;22887.0;0;1;24.0;4;4.0;80.0;9.0;3.0;0.6931471805599453;2.0794415416798357;1.9459101490553132;2.302585092994046;8.711937268208748;0.0;1.7320508075688772;2.0;0.0;0;1;0;0;1;0.0;0;0;0;0;0;1;0;0;0.0;0;0;0
32.0;0;1;116.0;13.0;3.0;1.0;1234.0;3.0;0;77.0;2.0;1.0;2.0;1;7331.0;0;0;20.0;3;3.0;80.0;2.0;3.0;0.6931471805599453;1.0986122886681096;1.0986122886681096;1.0986122886681096;7.917171988845776;0.6931471805599453;1.4142135623730951;2.0;1.4142135623730951;0;1;0;0;0;0.0;0;1;0;0;0;1;0;0;0.0;0;0;0
38.0;0;2;395.0;9.0;3.0;1.0;893.0;2.0;1;98.0;2.0;1.0;2.0;1;12102.0;0;0;19.0;2;4.0;80.0;3.0;3.0;0.0;1.0986122886681096;1.0986122886681096;1.0986122886681096;7.9724660159745655;0.6931471805599453;1.7320508075688772;1.7320508075688772;1.0;0;0;1;0;0;1.0;0;0;0;0;0;0;0;0;0.0;0;0;1
34.0;0;2;810.0;8.0;2.0;1.0;1823.0;2.0;1;92.0;4.0;2.0;3.0;1;22128.0;0;0;21.0;3;3.0;80.0;10.0;3.0;0.6931471805599453;2.1972245773362196;2.1972245773362196;2.3978952727983707;8.824677891164198;1.0986122886681096;2.23606797749979;2.0;2.0;0;0;1;0;0;0.0;0;0;1;0;0;0;0;0;0.0;0;1;0
30.0;0;2;317.0;2.0;3.0;1.0;548.0;3.0;0;43.0;1.0;2.0;4.0;2;24793.0;0;0;20.0;3;3.0;80.0;11.0;3.0;1.0986122886681096;1.6094379124341003;1.0986122886681096;1.791759469228055;8.714731714015052;0.0;1.4142135623730951;2.0;0.0;0;1;0;0;1;0.0;0;0;0;0;0;0;0;1;0.0;0;0;0
37.0;0;2;228.0;6.0;4.0;1.0;378.0;3.0;1;98.0;3.0;2.0;4.0;1;22825.0;0;0;14.0;2;2.0;80.0;7.0;4.0;1.6094379124341003;1.6094379124341003;0.6931471805599453;1.791759469228055;8.780018887869153;0.6931471805599453;2.23606797749979;1.7320508075688772;0.0;0;0;1;0;0;0.0;1;0;0;0;0;0;0;0;0.0;0;1;0
26.0;0;1;1096.0;6.0;3.0;1.0;1918.0;3.0;1;61.0;4.0;1.0;4.0;1;7102.0;0;0;18.0;3;1.0;80.0;8.0;3.0;0.0;2.0794415416798357;2.0794415416798357;2.0794415416798357;7.841885928984623;0.6931471805599453;1.7320508075688772;1.7320508075688772;2.6457513110645907;0;1;0;0;0;0.0;0;1;0;0;0;1;0;0;0.0;0;0;0
31.0;0;2;1154.0;2.0;2.0;1.0;1996.0;1.0;1;54.0;3.0;1.0;3.0;1;6393.0;0;0;19.0;3;3.0;80.0;3.0;3.0;0.0;1.0986122886681096;1.0986122886681096;1.0986122886681096;8.028781162487146;0.6931471805599453;1.0;1.7320508075688772;1.0;0;0;1;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0;0;1
44.0;1;1;920.0;24.0;3.0;1.0;392.0;4.0;1;43.0;3.0;1.0;3.0;0;19920.0;0;1;22.0;3;4.0;80.0;19.0;1.0;1.3862943611198906;0.0;0.0;0.6931471805599453;8.058960017769417;0.6931471805599453;0.0;2.0;0.0;0;1;0;0;1;0.0;0;0;0;0;0;1;0;0;0.0;0;0;0
44.0;0;2;921.0;2.0;3.0;1.0;1703.0;3.0;0;96.0;4.0;3.0;4.0;1;14810.0;0;1;19.0;3;2.0;80.0;9.0;3.0;0.6931471805599453;2.0794415416798357;2.0794415416798357;2.1972245773362196;8.972083182851925;0.6931471805599453;1.4142135623730951;1.7320508075688772;2.449489742783178;0;1;0;0;1;0.0;0;0;0;1;0;0;0;0;0.0;0;0;0
52.0;0;0;715.0;19.0;4.0;1.0;791.0;4.0;1;41.0;3.0;1.0;4.0;1;26589.0;0;0;18.0;3;1.0;80.0;5.0;3.0;0.0;1.3862943611198906;1.0986122886681096;1.6094379124341003;8.356789669923213;0.6931471805599453;1.7320508075688772;1.7320508075688772;1.0;0;1;0;0;0;0.0;1;0;0;0;0;0;0;0;0.0;1;0;0
26.0;1;2;1146.0;8.0;3.0;1.0;796.0;4.0;1;38.0;2.0;2.0;1.0;2;3064.0;0;0;17.0;2;3.0;80.0;6.0;2.0;1.9459101490553132;1.3862943611198906;1.0986122886681096;1.6094379124341003;8.580543506917;0.0;1.4142135623730951;1.7320508075688772;1.0;0;0;1;0;0;0.0;0;0;1;0;0;0;0;0;0.0;0;1;0
38.0;0;2;1245.0;14.0;3.0;1.0;1582.0;3.0;1;80.0;3.0;2.0;2.0;1;12355.0;0;0;11.0;1;4.0;80.0;10.0;3.0;0.0;2.1972245773362196;2.0794415416798357;2.302585092994046;9.202812105555392;0.6931471805599453;1.7320508075688772;1.7320508075688772;2.6457513110645907;0;0;1;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0;1;0
38.0;0;2;723.0;2.0;4.0;1.0;1835.0;2.0;0;77.0;1.0;2.0;4.0;1;4244.0;0;1;20.0;3;1.0;80.0;20.0;2.0;1.0986122886681096;1.0986122886681096;1.3862943611198906;1.6094379124341003;8.595264726836392;1.0986122886681096;2.0;2.0;0.0;0;0;1;0;0;1.0;0;0;0;0;0;0;0;0;0.0;0;0;1
40.0;0;2;329.0;1.0;4.0;1.0;1361.0;2.0;1;88.0;3.0;1.0;2.0;1;6762.0;0;0;22.0;3;3.0;80.0;7.0;3.0;1.3862943611198906;1.0986122886681096;1.3862943611198906;1.6094379124341003;7.778211474512493;0.6931471805599453;1.7320508075688772;2.0;0.0;0;1;0;0;1;0.0;0;0;0;0;0;1;0;0;0.0;0;0;0
27.0;0;2;1220.0;5.0;3.0;1.0;434.0;3.0;0;85.0;3.0;1.0;2.0;2;20938.0;0;1;12.0;1;2.0;80.0;4.0;2.0;0.6931471805599453;1.3862943611198906;1.0986122886681096;1.6094379124341003;7.8156105320351905;0.0;1.4142135623730951;1.7320508075688772;1.0;0;1;0;0;1;0.0;0;0;0;0;0;0;0;0;0.0;1;0;0
32.0;0;0;1184.0;1.0;3.0;1.0;951.0;3.0;0;70.0;2.0;1.0;2.0;1;3974.0;0;0;20.0;3;3.0;80.0;5.0;3.0;1.9459101490553132;0.0;1.0986122886681096;1.3862943611198906;7.75491027202143;0.0;1.7320508075688772;2.0;0.0;0;1;0;0;1;0.0;0;0;0;0;0;1;0;0;0.0;0;0;0
29.0;0;1;995.0;2.0;1.0;1.0;1590.0;1.0;1;87.0;3.0;2.0;4.0;0;24483.0;0;0;19.0;3;4.0;80.0;6.0;4.0;0.6931471805599453;1.6094379124341003;1.3862943611198906;1.9459101490553132;9.088624613292087;0.6931471805599453;0.0;1.7320508075688772;1.0;0;1;0;0;1;0.0;0;0;0;1;0;0;0;0;0.0;0;0;0
41.0;0;2;918.0;6.0;3.0;1.0;1708.0;4.0;1;35.0;3.0;3.0;3.0;2;15869.0;0;0;12.0;1;2.0;80.0;10.0;3.0;0.6931471805599453;2.1972245773362196;2.0794415416798357;2.3978952727983707;9.131513591430211;0.0;1.7320508075688772;1.7320508075688772;2.8284271247461903;0;0;1;0;0;1.0;0;0;0;0;0;0;0;0;0.0;0;1;0
60.0;0;2;370.0;1.0;4.0;1.0;1697.0;3.0;1;92.0;1.0;3.0;4.0;0;20467.0;0;0;20.0;3;3.0;80.0;19.0;4.0;1.3862943611198906;0.0;0.0;0.6931471805599453;9.295049099903137;0.6931471805599453;1.4142135623730951;2.0;0.0;0;1;0;0;0;0.0;1;0;0;1;0;0;0;0;0.0;0;0;0
21.0;1;2;1427.0;18.0;1.0;1.0;923.0;4.0;0;65.0;3.0;1.0;4.0;2;8870.0;0;0;19.0;3;1.0;80.0;1.0;2.0;0.6931471805599453;0.0;0.0;0.6931471805599453;7.898782356970309;0.0;1.7320508075688772;1.7320508075688772;0.0;0;1;0;0;0;0.0;0;1;0;0;0;0;0;0;0.0;1;0;0
27.0;0;1;829.0;8.0;1.0;1.0;800.0;3.0;1;84.0;3.0;2.0;4.0;1;24008.0;0;0;19.0;3;2.0;80.0;5.0;3.0;0.0;1.0986122886681096;0.6931471805599453;1.6094379124341003;8.376320632534823;0.6931471805599453;1.7320508075688772;1.7320508075688772;1.0;0;0;1;0;0;1.0;0;0;0;0;0;0;0;0;0.0;0;1;0
43.0;0;2;177.0;8.0;3.0;1.0;920.0;1.0;0;55.0;3.0;2.0;2.0;0;23814.0;0;0;21.0;3;3.0;80.0;4.0;4.0;1.6094379124341003;0.0;0.0;0.6931471805599453;8.469262657658687;0.6931471805599453;1.4142135623730951;2.0;0.0;0;1;0;0;1;0.0;0;0;0;0;0;0;0;1;0.0;0;0;0
32.0;0;1;379.0;5.0;2.0;1.0;889.0;2.0;1;48.0;3.0;2.0;2.0;1;8891.0;0;0;14.0;1;4.0;80.0;10.0;3.0;0.6931471805599453;2.1972245773362196;1.3862943611198906;2.3978952727983707;8.783396232190894;0.6931471805599453;1.7320508075688772;1.7320508075688772;2.23606797749979;0;0;1;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0;1;0
38.0;0;2;1380.0;9.0;2.0;1.0;245.0;3.0;0;75.0;3.0;1.0;4.0;2;6319.0;0;0;12.0;1;3.0;80.0;2.0;3.0;0.6931471805599453;1.0986122886681096;0.6931471805599453;1.0986122886681096;7.735870319952567;0.0;1.7320508075688772;1.7320508075688772;1.4142135623730951;0;1;0;0;1;0.0;0;0;0;0;0;1;0;0;0.0;0;0;0
50.0;0;1;1421.0;2.0;3.0;1.0;1215.0;4.0;0;30.0;3.0;4.0;1.0;1;9490.0;0;0;22.0;3;3.0;80.0;32.0;3.0;1.0986122886681096;1.0986122886681096;1.0986122886681096;1.0986122886681096;9.761645147498564;0.6931471805599453;1.7320508075688772;2.0;1.4142135623730951;0;1;0;0;0;0.0;1;0;0;0;0;0;1;0;0.0;0;0;0
26.0;0;2;1349.0;23.0;3.0;1.0;560.0;1.0;0;90.0;3.0;1.0;4.0;0;3032.0;0;0;22.0;4;2.0;80.0;3.0;1.0;0.6931471805599453;1.0986122886681096;1.0986122886681096;1.3862943611198906;7.967973179662935;1.0986122886681096;1.7320508075688772;2.0;0.0;0;1;0;0;1;0.0;0;0;0;0;0;0;0;0;0.0;1;0;0
45.0;0;2;1339.0;7.0;3.0;1.0;86.0;2.0;1;59.0;3.0;3.0;1.0;0;18787.0;0;0;17.0;2;3.0;80.0;25.0;3.0;1.0986122886681096;0.0;0.0;0.6931471805599453;9.182455168486648;0.6931471805599453;1.4142135623730951;1.7320508075688772;0.0;0;1;0;0;1;0.0;0;0;0;0;0;0;0;0;0.0;1;0;0
25.0;0;2;883.0;26.0;1.0;1.0;781.0;3.0;0;32.0;3.0;2.0;4.0;2;22807.0;0;0;23.0;4;2.0;80.0;6.0;2.0;0.6931471805599453;1.791759469228055;1.6094379124341003;1.9459101490553132;8.729235349659273;0.0;2.23606797749979;2.0;1.0;0;0;1;0;0;0.0;1;0;0;0;0;0;0;0;0.0;0;1;0
34.0;0;0;697.0;3.0;4.0;1.0;1115.0;3.0;1;40.0;2.0;1.0;4.0;1;22478.0;0;0;17.0;3;4.0;80.0;6.0;3.0;1.3862943611198906;0.0;0.0;0.0;7.9996785794994505;1.3862943611198906;1.4142135623730951;1.7320508075688772;0.0;0;1;0;0;1;0.0;0;0;0;0;0;0;0;0;0.0;1;0;0
30.0;0;2;501.0;27.0;5.0;1.0;747.0;3.0;1;99.0;3.0;2.0;4.0;0;25275.0;0;0;23.0;4;4.0;80.0;10.0;2.0;2.0794415416798357;2.0794415416798357;2.0794415416798357;2.1972245773362196;8.576405051048084;0.6931471805599453;1.4142135623730951;2.0;2.6457513110645907;0;0;1;0;0;1.0;0;0;0;0;0;0;0;0;0.0;0;1;0
30.0;1;1;448.0;12.0;4.0;1.0;648.0;2.0;1;74.0;2.0;1.0;1.0;1;14470.0;0;0;18.0;2;3.0;80.0;1.0;4.0;0.6931471805599453;0.0;0.0;0.6931471805599453;7.617759576608505;0.6931471805599453;1.4142135623730951;1.7320508075688772;0.0;0;0;1;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0;0;1
31.0;0;2;1003.0;5.0;3.0;1.0;1749.0;1.0;1;51.0;3.0;2.0;3.0;1;20943.0;0;0;19.0;3;3.0;80.0;6.0;3.0;0.6931471805599453;1.0986122886681096;1.0986122886681096;1.791759469228055;9.029657471850737;0.6931471805599453;1.7320508075688772;1.7320508075688772;0.0;0;0;1;0;0;0.0;0;0;1;0;0;0;0;0;0.0;0;1;0
32.0;0;2;588.0;8.0;2.0;1.0;436.0;3.0;0;65.0;2.0;2.0;2.0;1;24624.0;0;1;11.0;1;4.0;80.0;13.0;3.0;0.6931471805599453;2.5649493574615367;2.302585092994046;2.639057329615259;8.56197533418813;0.0;1.4142135623730951;1.7320508075688772;3.3166247903554;0;0;1;0;0;0.0;0;0;1;0;0;0;0;0;0.0;0;1;0
37.0;0;0;1040.0;2.0;2.0;1.0;139.0;3.0;1;100.0;2.0;2.0;4.0;0;15850.0;0;0;14.0;2;4.0;80.0;17.0;4.0;1.791759469228055;0.0;0.0;0.6931471805599453;8.549466751966532;0.6931471805599453;1.4142135623730951;1.7320508075688772;0.0;0;1;0;0;1;0.0;0;0;0;1;0;0;0;0;0.0;0;0;0
38.0;0;2;1084.0;29.0;3.0;1.0;273.0;4.0;1;54.0;3.0;2.0;4.0;1;4185.0;0;0;18.0;3;1.0;80.0;9.0;1.0;1.3862943611198906;2.0794415416798357;2.0794415416798357;2.0794415416798357;8.742254901886351;0.6931471805599453;1.7320508075688772;1.7320508075688772;1.0;0;1;0;0;0;0.0;0;0;1;0;0;0;0;1;0.0;0;0;0
36.0;0;1;566.0;18.0;4.0;1.0;407.0;3.0;1;81.0;4.0;1.0;4.0;1;7122.0;0;0;18.0;3;4.0;80.0;4.0;3.0;1.6094379124341003;0.0;0.0;0.6931471805599453;8.213110697596676;1.0986122886681096;1.4142135623730951;1.7320508075688772;0.0;0;1;0;0;1;0.0;0;0;0;0;0;1;0;0;0.0;0;0;0
39.0;0;1;505.0;2.0;4.0;1.0;343.0;3.0;0;64.0;3.0;3.0;3.0;2;6420.0;0;0;25.0;4;4.0;80.0;20.0;3.0;0.0;1.9459101490553132;2.1972245773362196;2.995732273553991;9.30008966411979;0.0;1.0;2.0;3.3166247903554;0;1;0;0;0;0.0;0;0;1;1;0;0;0;0;0.0;0;0;0
38.0;0;0;1327.0;2.0;2.0;1.0;361.0;4.0;1;39.0;2.0;2.0;4.0;1;19682.0;0;0;18.0;3;4.0;80.0;13.0;3.0;1.3862943611198906;2.0794415416798357;1.791759469228055;2.1972245773362196;8.565983355585669;0.6931471805599453;0.0;1.7320508075688772;2.6457513110645907;0;0;1;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0;1;0
30.0;0;1;1312.0;23.0;3.0;1.0;159.0;1.0;1;96.0;1.0;1.0;3.0;0;22310.0;0;0;25.0;4;3.0;80.0;10.0;2.0;0.6931471805599453;2.0794415416798357;2.302585092994046;2.3978952727983707;7.868636894184167;1.3862943611198906;1.4142135623730951;2.0;0.0;0;1;0;0;1;0.0;0;0;0;0;0;0;0;0;0.0;1;0;0
40.0;0;2;898.0;6.0;2.0;1.0;1550.0;3.0;1;38.0;3.0;4.0;4.0;2;17381.0;0;1;21.0;3;4.0;80.0;21.0;3.0;0.6931471805599453;2.0794415416798357;2.0794415416798357;3.091042453358316;9.707351006708445;0.0;1.4142135623730951;2.0;2.6457513110645907;1;0;0;0;0;0.0;1;0;0;0;0;0;1;0;0.0;0;0;0
